"shapeid","x","y"
"0","693093.078519","6094312.57073"
"0","693107.366364","6094303.76567"
"0","693103.750415","6094290.90959"
"0","693082.680844","6094277.68815"
"0","693063.427474","6094279.94794"
"0","693036.043336","6094283.85983"
"0","693012.108511","6094275.50341"
"0","692999.478584","6094292.40243"
"0","693007.78325","6094298.87622"
"0","693028.04747","6094309.15887"
"0","693056.071514","6094317.79729"
"0","693069.759682","6094315.65664"
"0","693081.087311","6094307.28451"
"0","693093.078519","6094312.57073"
