"shapeid","x","y"
"0","693851.291855","6097511.54352"
"0","693871.147822","6097517.81383"
"0","693886.30106","6097488.02988"
"0","693899.364196","6097451.97562"
"0","693890.14293","6097428.40441"
"0","693877.418127","6097405.47086"
"0","693855.472058","6097369.93913"
"0","693818.895277","6097324.47941"
"0","693782.318496","6097268.56919"
"0","693765.075157","6097280.06475"
"0","693787.543751","6097310.89375"
"0","693814.715074","6097342.24528"
"0","693835.616092","6097378.29953"
"0","693866.445093","6097412.26369"
"0","693880.55328","6097443.09269"
"0","693875.328025","6097472.87664"
"0","693851.291855","6097511.54352"
