"shapeid","x","y"
"0","693717.479827","6096451.30689"
"0","693707.593812","6096466.72907"
"0","693707.198371","6096496.78256"
"0","693716.293506","6096509.8321"
"0","693760.978297","6096558.86674"
"0","693789.450023","6096603.94697"
"0","693800.917801","6096644.28192"
"0","693826.621443","6096677.89437"
"0","693843.62539","6096684.22142"
"0","693847.975237","6096673.54452"
"0","693845.998034","6096662.07674"
"0","693827.807765","6096637.95487"
"0","693829.784968","6096615.81019"
"0","693822.271596","6096586.94302"
"0","693823.062477","6096554.91233"
"0","693819.108071","6096536.32662"
"0","693794.986192","6096528.41781"
"0","693748.324197","6096463.17011"
"0","693717.479827","6096451.30689"
