"shapeid","x","y"
"0","149.122716976","-35.2770808804"
"0","149.122953368","-35.2767929904"
"0","149.123125643","-35.2768736924"
"0","149.123221949","-35.276760366"
"0","149.12297342","-35.2765833219"
"0","149.123095724","-35.2764881451"
"0","149.123158576","-35.2765056475"
"0","149.12323046","-35.2764346132"
"0","149.12354583","-35.276673278"
"0","149.123201916","-35.2770793439"
"0","149.12294567","-35.2769326698"
"0","149.122774704","-35.2771194045"
"0","149.122716976","-35.2770808804"
